review_item_id,query_bundle_id,blind_label,source_group_id,source_query_id
blind_001_B,bundle_001,B,G1,q002
blind_001_D,bundle_001,D,G2,q002
blind_001_C,bundle_001,C,G3,q002
blind_001_A,bundle_001,A,G4,q002
blind_002_C,bundle_002,C,G1,q003
blind_002_B,bundle_002,B,G2,q003
blind_002_A,bundle_002,A,G3,q003
blind_002_D,bundle_002,D,G4,q003
blind_003_B,bundle_003,B,G1,q004
blind_003_D,bundle_003,D,G2,q004
blind_003_A,bundle_003,A,G3,q004
blind_003_C,bundle_003,C,G4,q004
blind_004_A,bundle_004,A,G1,q006
blind_004_C,bundle_004,C,G2,q006
blind_004_B,bundle_004,B,G3,q006
blind_004_D,bundle_004,D,G4,q006
blind_005_C,bundle_005,C,G1,q007
blind_005_D,bundle_005,D,G2,q007
blind_005_A,bundle_005,A,G3,q007
blind_005_B,bundle_005,B,G4,q007
blind_006_C,bundle_006,C,G1,q009
blind_006_B,bundle_006,B,G2,q009
blind_006_D,bundle_006,D,G3,q009
blind_006_A,bundle_006,A,G4,q009
blind_007_D,bundle_007,D,G1,q014
blind_007_C,bundle_007,C,G2,q014
blind_007_B,bundle_007,B,G3,q014
blind_007_A,bundle_007,A,G4,q014
blind_008_D,bundle_008,D,G1,q015
blind_008_B,bundle_008,B,G2,q015
blind_008_A,bundle_008,A,G3,q015
blind_008_C,bundle_008,C,G4,q015
blind_009_C,bundle_009,C,G1,q030
blind_009_D,bundle_009,D,G2,q030
blind_009_B,bundle_009,B,G3,q030
blind_009_A,bundle_009,A,G4,q030
blind_010_A,bundle_010,A,G1,q031
blind_010_B,bundle_010,B,G2,q031
blind_010_D,bundle_010,D,G3,q031
blind_010_C,bundle_010,C,G4,q031
blind_011_D,bundle_011,D,G1,q034
blind_011_A,bundle_011,A,G2,q034
blind_011_C,bundle_011,C,G3,q034
blind_011_B,bundle_011,B,G4,q034
blind_012_B,bundle_012,B,G1,q037
blind_012_D,bundle_012,D,G2,q037
blind_012_C,bundle_012,C,G3,q037
blind_012_A,bundle_012,A,G4,q037
blind_013_B,bundle_013,B,G1,q038
blind_013_D,bundle_013,D,G2,q038
blind_013_A,bundle_013,A,G3,q038
blind_013_C,bundle_013,C,G4,q038
blind_014_D,bundle_014,D,G1,q040
blind_014_C,bundle_014,C,G2,q040
blind_014_B,bundle_014,B,G3,q040
blind_014_A,bundle_014,A,G4,q040
blind_015_A,bundle_015,A,G1,q046
blind_015_B,bundle_015,B,G2,q046
blind_015_C,bundle_015,C,G3,q046
blind_015_D,bundle_015,D,G4,q046
blind_016_A,bundle_016,A,G1,q050
blind_016_C,bundle_016,C,G2,q050
blind_016_D,bundle_016,D,G3,q050
blind_016_B,bundle_016,B,G4,q050
blind_017_A,bundle_017,A,G1,q074
blind_017_D,bundle_017,D,G2,q074
blind_017_C,bundle_017,C,G3,q074
blind_017_B,bundle_017,B,G4,q074
blind_018_B,bundle_018,B,G1,q076
blind_018_D,bundle_018,D,G2,q076
blind_018_C,bundle_018,C,G3,q076
blind_018_A,bundle_018,A,G4,q076
blind_019_C,bundle_019,C,G1,q080
blind_019_D,bundle_019,D,G2,q080
blind_019_A,bundle_019,A,G3,q080
blind_019_B,bundle_019,B,G4,q080
blind_020_C,bundle_020,C,G1,q086
blind_020_A,bundle_020,A,G2,q086
blind_020_B,bundle_020,B,G3,q086
blind_020_D,bundle_020,D,G4,q086
